question,options,right_answer
"毛泽东通过﹙﹚等著作,初步总结了我国社会主义建设的经验,提出了探索适合中国国情的社会主义建设道路的任务.①《在中国共产党第七届中央委员会第二次全体会议上报告》②《论十大关系》③《关于正确处理人民内部矛盾的问题》④《论政策》","['①②', '②③', '①②③', '①②③④']",['②③']
"毛泽东指出,对待历史和传统文化的正确方针是","['厚古薄今', '洋为中用', '古为今用', '厚今薄古']",['古为今用']
科学发展观创造性地回答了()的问题,"['什么是社会主义,怎样建设社会主义', '实现什么样的发展,怎样发展', '什么是创新,怎样创新', '什么是马克思主义,怎样发展马克思主义']","['实现什么样的发展,怎样发展']"
"全会指出,建设社会主义文化强国,增强国家文化软实力的指导方针是,必须坚持()","['社会主义先进文化前进方向', '中国特色社会主义文化发展道路', '以人民为中心的工作导向', '以上都是']",['以上都是']
事物发展的实质是(&nbsp;).,"['新的事物的产生和旧的事物的灭亡', '新事物的产生和旧事物的灭亡', '所有事物的前进与上升', '发展是一个扬弃的过程']",['新事物的产生和旧事物的灭亡']
"我们强调,人权不仅包括个人的权利,而且包括经济、社会、文化、公民的权利.对于发展中国家来说,是最重要最根本的人权.","['公平和正义', '民主和自由', '言论自由', '生存权和发展权']",['生存权和发展权']
社会主义中国的强国之路是,"['坚持党的领导', '坚持四项基本原则', '坚持改革开放', '坚持马克思主义']",['坚持改革开放']
我国政治体制改革的基本原则是()①必须坚持四项基本原则②必须有利于改革开放③必须从中国的基本国情出发④必须有步骤、有秩序地进行⑤必须坚持民主集中制,"['①②③', '①③④', '①②③④', '②③④⑤']",['①③④']
"构建统一开放竞争有序的现代文化市场体系,需①重点发展图书报刊、电子音像制品、演出娱乐、影视剧、动漫游戏等产品市场；②进一步完善中国国际文化产业博览交易会等综合交易平台；③发展连锁经营、物流配送、电子商务等现代流通组织和流通形式；④加快培育产权、版权、技术、信息等要素市场","['①②③', '②③④', '①②③④', '①②④']",['①②③④']
我国的社会建设以,"['民主为重点', '民生为重点', '民权为重点', '民族为重点']",['民生为重点']
毛泽东提出关于社会主义社会基本矛盾学说的著作是,"['《反对本本主义》', '《论十大关系》', '《关于正确处理人民内部矛盾的问题》', '《在中国共产党全国代表大会上的讲话》']",['《关于正确处理人民内部矛盾的问题》']
四项基本原则的核心是,"['坚持社会主义道路', '坚持人民民主专政', '坚持马列主义毛泽东思想', '坚持共产党的领导']",['坚持共产党的领导']
社会保障体系包括,"['社会保险、社会救助、社会福利社会效率', '社会优抚安置、社会互助、社会慈善事业、社会公平', '社会救助、社会福利、社会效率与公平', '社会保险、社会救助、社会福利、优抚安置和社会互助、商业保险与慈善事业等制度']",['社会保险、社会救助、社会福利、优抚安置和社会互助、商业保险与慈善事业等制度']
"<p>哲学物质概念与自然科学关于具体的物质形态和物质结构的概念之间,其关系是(&nbsp;)</p>","['整体与部分的关系', '共性与个性的关系', '原因与结果的关系', '必然性与偶然性的关系']",['共性与个性的关系']
"邓小平认为,在一切工作中要真正坚持实事求是,正确以马克思列宁主义、毛泽东思想,解决过去遗留的问题和新出现的一系列问题,首先必须","['发展生产力', '实事求是', '敢说真话', '解放思想']",['解放思想']
"改革开放新时期,“人民”这一范畴包括①工人阶级②农民阶级③拥护社会主义、拥护祖国统一的爱国者④新产生的社会阶层","['①②', '②③④', '①②③④', '①②③']",['①②③④']
"我国通过对手工业的社会主义改造,手工业者最终进入了","['手工业供销小组', '手工业供销合作社', '手工业者协会', '手工业生产合作社']",['手工业生产合作社']
理想之所以美好就在于它脱离现实.(),"['对', '错']",['错']
“一国两制”可以搞资本主义的地区包括,"['新疆', '西藏', '台湾', '南海']",['台湾']
"改革开放前,我国社会主义建设出现失误的深刻原因是()","['社会主义制度存在着缺陷', '经济、政治体制存在着种种弊端', '西方国家的和平演变战略', '没有完全搞清楚什么是社会主义']",['没有完全搞清楚什么是社会主义']
"我国的耕地资源总数量居世界前列,但人均拥有量却分别只有世界平均水平的","['三分之一', '四分之一', '五分之二', '五分之三']",['五分之二']
"社会主义初级阶段从()开始,到21世纪中叶社会主义现代化基本实现,至少需要100年时间.","['1949年', '1953年', '1956年', '1978年']",['1956年']
"在半殖民地半封建的旧中国,中国人民面对的最凶恶敌人是","['帝国主义', '封建主义', '官僚资本主义', '贫穷和落后']",['帝国主义']
"发展社会主义政治,建设社会主义政治文明,核心在于：","['坚持无产阶级领导', '坚持党的领导', '坚持多党合体', '坚持民主的发展']",['坚持党的领导']
"()年,我国正式成为世界贸易组织的成员,标志我国对外开放进入了一个新阶段","['2000', '2001', '2002', '2003']",['2001']
第一次提出我国社会主义制度还处于初级的阶段的党的会议是,"['十一届六中全会', '十二大', '十二届六中全会', '十三大']",['十一届六中全会']
我国对外开放的格局是：①多层次；②宽领域；③全方位；④市场取向；⑤价值取向,"['①②③④⑤', '①②③④', '①②③', '④⑤']",['①②③']
现在对解放思想、实事求是的探索,"['已经到头了', '甚至过头了', '还在继续着', '不必再进行']",['还在继续着']
中国共产党进行自身建设的特殊困难是()①小资产阶级思想的影响比较严重②党的理论准备不足③中国工人阶级人数较少④国内外敌人的力量异常强大⑤封建主义的影响比较严重,"['①②④⑤', '①②⑤', '①②③④', '①②']",['①②⑤']
我国多党合作的首要前提和根本保证是,"['中国共产党的领导', '坚持四项基本原则', '以宪法为根本活动准则', '发展是各民主党派参政议政的第一要务']",['中国共产党的领导']
实现解放思想与实事求是辩证统一的基础是,"['物质世界', '客观规律', '社会实践', '客观实际']",['物质世界']
《论十大关系》是谁写的,"['毛泽东', '邓小平', '张闻天', '江泽民']",['毛泽东']
党的十一届三中全会提出我国社会主义初级阶段理论.,"['对', '错']",['错']
社会主义和资本主义的共同本质都是解放生产力、发展生产力.,"['对', '错']",['错']
"20世纪90年代以后,我国逐渐形成了全方位、多层次、宽领域的对外开放格局.所谓宽领域就是","['对发达国家和发展中国家都实行开放政策', '把对外开放扩展到基础产业和服务业等众多产业', '办好开发区、保税区、经济特区等多种开放形式', '把对外开放从沿海、沿边推进到内陆中心城市']",['把对外开放扩展到基础产业和服务业等众多产业']
社会主义法制的基本要求是,"['将社会主义民主制度化、法律化', '必须使每一个公民都增强法制观念', '法律面前人人平等', '有法可依、有法必依、执法必严、违法必究']",['有法可依、有法必依、执法必严、违法必究']
构建社会主义和谐社会的着力点是,"['加强党对构建社会主义和谐社会的领导', '民主法治、公平正义、诚信友爱', '加快推进以改善民生为重点的社会建设', '人与自然和谐相处']",['加快推进以改善民生为重点的社会建设']
标志毛泽东思想走向成熟的著作有()①《中国的红色政权为什么能够存在？》②《新民主主义论》③《中国革命和中国共产党》④《〈共产党人〉发刊词》,"['①②③④', '①②', '②③④', '①②③']",['②③④']
"毛泽东特别注意从思想上建党,他认为中国共产党区别于其他任何政党的显著标志是①理论和实践相结合的作风②和人民群众紧密地联系在一起的作风③艰苦奋斗的作风④自我批评的作风","['①③④', '②③④', '①②④', '①②③④']",['①②④']
中国共产党全部工作的根本目的是,"['坚持中国共产党的执政地位', '实现好、维护好、发展好最广大人民的根本利益', '代表中国先进生产力的发展要求', '坚持社会主义道路']",['实现好、维护好、发展好最广大人民的根本利益']
我国对资本主义工商业进行社会主义改造采取的方法是,"['和平赎买', '国家资本主义', '利用、限制、改造', '团结—批评—团结']",['和平赎买']
社会历史观的基本问题是(&nbsp;),"['社会存在和社会意识的关系问题', '物质和意识的关系问题', '世界是怎样存在的问题', '世界是怎样存在的问题']",['社会存在和社会意识的关系问题']
不符合历史潮流的世界格局是,"['英国建立国际军事霸主地位', '欧盟建立国际军事霸主地位', '俄罗斯建立国际军事霸主地位', '美国建立国际军事霸主地位']",['美国建立国际军事霸主地位']
"深入贯彻落实科学发展观,实现可持续发展要求正确处理","['经济发展与社会发展的关系', '经济发展与人口、资源、环境的关系', '全面发展与重点发展的关系', '信息化与工业化的关系']",['经济发展与人口、资源、环境的关系']
"邓小平指出,在改革中社会主义必须始终坚持的两条根本原则是","['坚持四项基本原则、坚持改革开放', '实行按劳分配,增强综合国力', '不断发展社会生产,增加社会财富', '坚持公有制为主体,实现共同富裕']","['坚持公有制为主体,实现共同富裕']"
"加快推进以改善民生为重点的社会建设,涉及面广,除优先发展教育外,还包括()","['实施扩大就业的发展战略,促进以创业带动就业', '深化收入分配制度改革,增加城乡居民收入', '加快建立覆盖城乡居民的社会保障体系,保障人民基本生活', '以上都是']",['以上都是']
信仰是信念最集中、最高的表现形式.(),"['对', '错']",['对']
"为实现好、维护好、发展好最广大人民的根本利益,中国共产党应当正确把握的基本原则是()①考虑并满足最大多数人的利益要求②妥善处理与兼顾不同阶层、不同方面群众的利益关系③切实解决好事关人民群众利益的实际问题④切实满足每个人的个人利益⑤加强先进性教育","['①②③', '①②④⑤', '①②③⑤', '①②⑤']",['①②③']
“三个有利于”标准回答了()的问题,"['什么是社会主义', '如何建设社会主义', '如何建设党', '如何建设人民军队']",['如何建设社会主义']
中国共产党必须解决好的两大历史性课题是(&nbsp;&nbsp;),"['进一步提高党的领导水平和执政水平,提高党拒腐防变和抵御风险的能力', '全心全意为人民服务,为实现共产主义奋斗终身', '锐意改革,与时俱进', '发展民主,健全法制,由人治过渡到法治']","['进一步提高党的领导水平和执政水平,提高党拒腐防变和抵御风险的能力']"
在社会主义初级阶段的公有制经济中,"['按劳分配是唯一的分配方式', '除按劳分配外,还存在着其他分配方式', '按劳分配能按统一的标准实现', '劳动者的个人受辱取决于自己的劳动贡献']","['除按劳分配外,还存在着其他分配方式']"
"我国到2020年社会就业更加充分,覆盖城乡居民的社会保障体系()","['更加全面', '更加合理', '基本建立', '更加完善']",['基本建立']
近代中国的社会基础是(),"['封建制度', '资本主义制度', '社会主义制度', '奴隶制度']",['封建制度']
1981年党的十一届六中全会确定了以：①现代化经济建设；②民主政治建设；③精神文明建设；④和谐社会建设为标志的全面建设社会主义的总任务.,"['①②③④', '①②③', '②③④', '①③④']",['①②③']
"关于“改革是解放生产力,是一场新的革命”的正确理解是","['是对原有经济体制的根本性变革', '是原有经济体制的细枝末节的修补', '改变社会主义性质', '是一个阶级推翻另一个阶级的革命']",['是对原有经济体制的根本性变革']
国有经济对经济发展的主导作用体现在(&nbsp;&nbsp;),"['在社会总资产中占量的优势', '在所有制结构中占主体地位', '对国民经济发展的控制力上', '下岗人员再就业的主渠道']",['在社会总资产中占量的优势']
毛泽东晚年在对中国社会主义建设道路的探索中出现的最主要错误是(),"['经济建设上稳中求成', '对社会主义建设的长期性认识不足', '阶级斗争扩大化', '党和国家领导制度上存在某种缺陷,如何建设社会主义的问题']",['阶级斗争扩大化']
近代中国社会的性质是().,"['封建社会', '半殖民地半封建社会', '半殖民地半资本主义社会', '资本主义社会']",['半殖民地半封建社会']
三大改造的完成标志着社会主义制度在中国的全面确立.,"['对', '错']",['错']
毛泽东对实事求是的科学含义作出马克思主义界定的著作是,"['《反对本本主义》', '《矛盾论》', '《实践论》', '《改造我们的学习》']",['《改造我们的学习》']
"当今世界许多国家,特别是发达国家,都在加紧制定和实施发展高科技的计划.这一现象告诉我们()①科技的发展能够极大地促进经济发展和社会进步②当今国际竞争的实质是以经济和科技实力为基础的综合国力的较量③在当代经济增长中,科学技术已作为第一生产力发挥作用④我国也必须发展自己的高科技,在世界高科技领域占有一席之地","['①②③', '①③④', '①②③④', '②③⑤']",['①②③④']
实事求是、群众路线、独立自主是,"['毛泽东思想的精髓', '毛泽东思想活灵魂的三个基本面', '毛泽东思想的重大理论成果', '毛泽东思想的科学体系']",['毛泽东思想活灵魂的三个基本面']
苏联确立社会主义制度的时间是,"['1917年', '1936年', '1949年', '1956年']",['1936年']
现阶段我国农村集体经济的主要经营形式是(),"['土地适度规模经营', '集体统一经营', '家庭承包经营', '专业户独立经营']",['家庭承包经营']
下列各项不是中共十三大的成果的是,"['提出了社会主义初级阶段理论', '制定了党在社会主义初级阶段的基本路线', '确立了三步走的战略部署', '提出建立社会主义市场经济体制的改革目标']",['提出建立社会主义市场经济体制的改革目标']
"在两岸关系和平发展中,2008年12月15日,()","['两岸“三通”正式启动', '两岸周末包机开通', '两岸开始海运直航', '大陆同胞赠送的一对大熊猫运抵台湾']",['两岸“三通”正式启动']
"我国对资本主义工商业的社会主义改造中,国家向私营企业投资入股,共同管理的是","['个别企业公私合营', '全行业公私合营', '委托加工', '统购包销']",['个别企业公私合营']
股份制属于,"['公有制', '私有制', '混合所有制', '既非公有制,也非私有制,关键看控股权掌握在谁手中']","['既非公有制,也非私有制,关键看控股权掌握在谁手中']"
列宁对“物质”概念的定义是通过(&nbsp;),"['共性与个性的关系界定的', '一般与个别的关系界定的', '认识与实践的关系界定的', '物质与意识的关系界定的']",['物质与意识的关系界定的']
"随着经济的快速发展和物质生活水平的提高,人们的精神文化需求日益增长,迫切要求通过深化体制改革激发文化发展的活力,为人民群众提供更多更好的文化产品和文化服务,保障人民的基本文化权益.保障人民基本文化权益的途径是","['繁荣社会主义文化,提高文化软实力', '协调发展公益性', '发展公益性事业,建立政府主导的公共文化服务体系', '调动社会力量']","['发展公益性事业,建立政府主导的公共文化服务体系']"
社会主义革命是()的必然趋势,"['奴隶制革命', '资本主义革命', '封建主义革命', '民主主义革命']",['民主主义革命']
毛泽东在《反对本本主义》一文中反对的主要错误倾向是().,"['宗派主义', '经验主义', '教条主义', '关门主义']",['教条主义']
"根据对哲学基本问题第一方面的不同回答,哲学可以划分为两大基本派别,它们是(&nbsp;&nbsp;)","['唯物主义和唯心主义', '可知论和不可知论', '辩证法和形而上学', '辩证唯物主义和形而上学唯物主义']",['唯物主义和唯心主义']
中国共产党人对待马克思主义唯一正和科学的态度是：,"['坚持马克思主义基本原理与中国具体实际相结合', '坚持维护马克思主义的原创性', '一切从中国的自身经验出发', '马克思主义理论是神圣不可侵犯的']",['坚持马克思主义基本原理与中国具体实际相结合']
党领导的多党合作制最突出的特征是()①共产党领导、多党派合作②共产党执政、多党派参政③共产党决策、多党派咨询④共产党决策、多党派协商,"['①②③④', '①②', '①②③', '②③']",['①②']
我国民主党派的参政作用表现在①参加国家政权②参与国家大政方针、国家领导人选的协商③参与国家事务的管理④参与国家方针、政策、法律、法规的制定执行,"['③④', '②③④', '①②③④', '①②③']",['①②③④']
"2011年3月,全国政协十一届四次会议将“十二五”期间加快城乡社会保障一体化发展的提案列为1号提案,建议国务院交由相关部门办理.这表明()","['人民政协履行参政议政职能', '国家机构致力于消除城乡发展不平衡', '国家机构坚持民主集中制原则', '人民政协拥有部分重大事务决定权']",['人民政协履行参政议政职能']
"社会主义改造基本完成,我国的民族资产阶级分子","['已被消灭', '仍然存在', '被改造成劳动者', '成了新的资本家']",['被改造成劳动者']
中国人民爱国统一战线的组织形式是,"['中国人民政治协商会议', '全国人民代表大会', '中国和平统一促进会', '全球华人反独促统联盟']",['中国人民政治协商会议']
"我国仍处在社会主义初级阶段,说明社会主义不适合我国发展的需要.","['对', '错']",['错']
社会主义公有制经济个人消费品分配的基本原则是,"['按需分配', '按劳分配', '按资分配', '按生产要素分配']",['按劳分配']
香港是亚太的()中心,"['经济中心', '金融中心', '贸易中心', '以上都是']",['以上都是']
"中国无产阶级自身的“特点和优点”在于①不占有任何生产资料②深受帝国主义、封建主义和资本主义的三重压迫③与农民有着天然的联系④人数虽少,但比较集中","['①③④', '①②④', '②③④', '①②③④']",['②③④']
"坚持()的绝对领导,是建设人民军队的根本原则.","['党对军队', '军队对党', '军队对干部', '军队对地方']",['党对军队']
“迎世博迎亚运讲文明树新风”志愿服务活动的开展(&nbsp;&nbsp;)&nbsp;①有利于引导人们加强自身道德修养②表明文化创新可以推动社会实践的发展③表明我国的思想道德建设已达到很高水平④有利于引导我国公民树立社会主义荣辱观,"['①③', '②④', '①④', '①②③④']",['①④']
"由张继刚执导、太原舞蹈团表演的舞剧《千手观音》近且在省城太原隆重上演.舞剧《千手观音》汇集了德国、美国、俄罗斯三国的“外援”.其中俄罗斯圣彼得堡交响乐团以及合唱团担任演奏,在德国的柏林录音.指挥兰德向先生表示：“这个音乐既有东方的特点,又有国际化的元素,我特别希望能把这部作品带到美国去演出！”舞剧《千手观音》的演出成功说明","['加强对外文化交流,是社会主义精神文明建设的根本任务', '中华文化正以深厚的东方底蕴、鲜明的民族风格取代世界各国文化', '要发展面向现代化、面向世界、面向未来的,民族的科学的大众的社会主义文化', '中国特色社会主义文化具有开放性,对外来文化要全盘吸收']","['要发展面向现代化、面向世界、面向未来的,民族的科学的大众的社会主义文化']"
近代中国社会的性质是,"['半殖民地半封建社会', '封建社会', '半殖民地半资本主义社会', '资本主义社会']",['半殖民地半封建社会']
"李某应聘到一企业担任经理,按合同规定,除工资外,他每年可以从企业利润中提5%的报酬.今年他得5万元的提成,这5万元属于","['资金分红收入', '劳动力价值或价格收入', '经营风险收入', '按劳分配收入']",['经营风险收入']
"不断开拓马克思主义理论发展的新境界,就要求党的全部理论和工作,要紧跟时代的步伐,用马克思主义的宽广眼界观察世界；要更加符合实践发展的客观规律；要更加开拓创新.以上这“三个要”体现的是对","['与时俱进的基本要求', '体现时代性的基本要求', '把握规律性的基本要求', '富于创造性的基本要求']",['与时俱进的基本要求']
社会主义初级阶段的各种社会矛盾的解决最终取决于：,"['社会主义公有制程度的不断提高', '按劳分配水平的不断提高', '人民群众生活水平的不断提高', '生产力水平的不断提高']",['生产力水平的不断提高']
现阶段我国各族人民的共同理想是,"['把我国建设成为富强、民主、文明的社会主义现代化国家', '实现祖国统一', '建立各尽所能,按需分配的共产主义社会', '人均国民生产总值到2000年翻两番,实现小康']",['把我国建设成为富强、民主、文明的社会主义现代化国家']
在下列收入中属于按劳分配性质的收入是,"['个体劳动者的劳动所得', '外资企业职工的工资收入', '股份制企业职工按股分红收入', '集体企业职工的劳动收入']",['集体企业职工的劳动收入']
"建设中国特色社会主义,总依据是：","['五位一体', '实现社会主义现代化', '实现中华民族伟大复兴', '社会主义初级阶段']",['社会主义初级阶段']
用法律形式把过渡时期总路线确定为全国人民在过渡时期总任务的会议是,"['第一届全国人民代表大会', '第二届全国人民代表大会', '中国人民政治协商会议', '中共七届三中全会']",['第一届全国人民代表大会']
"发展文化产业是社会主义市场经济条件下满足人民多样化精神文化需求的重要途径.必须①必须坚持社会主义先进文化前进方向,②坚持把社会效益放在首位、③坚持社会效益和经济效益相统一","['①②③', '①②', '②③', '①③']",['①②③']
"按照我国十六届六中全会提出2020年构建社会主义和谐社会的目标,到那时全社会创造活力显著增强,","['创新型国家基本形成', '科学发展观深入人心', '社会生产力水平进一步提高', '经济改革稳步发展']",['创新型国家基本形成']
解决民族问题的基本原则是,"['在少数民族聚居的地方实行民族区域自治', '坚持民族平等、民族团结和各民族共同繁荣', '保护和发展各民族语言文字、尊重各民族风俗习惯', '尊重保护各民族宗教信仰自由']",['坚持民族平等、民族团结和各民族共同繁荣']
"要坚持两手抓,两手都要硬,只有物质文明和精神文明抓好了,才是中国特色社会主义.这是因为()","['物质文明是精神文明的基础,精神文明对物质文明有反作用', '物质文明为精神文明提供物质条件和实践经验', '精神文明为物质文明提供精神动力和智力支持', '以上都是']",['以上都是']
"1992年,海峡两岸关系协会与台湾海峡交流基金会达成的“九二共识”的核心内容是","['搁置争议,共同开发', '和平统一,一国两制', '各自以口头方式表述“海峡两岸均坚持一个中国原则”', '发展两岸关系,推进祖国和平统一']",['各自以口头方式表述“海峡两岸均坚持一个中国原则”']
实行对外开放要处理好对外开放与()的关系,"['独立自主', '自力更生', '闭关自守', '独立自主,自力更生']","['独立自主,自力更生']"
对以改善民生为重点的社会建设作了全面部署的是党的,"['十六大', '十六届四中全会', '十六届六中全会', '十七大']",['十七大']
掲示了事物发展的方向和道路的是().,"['对立统一规律', '质量互变规律', '否定之否定规律', '社会规律']",['否定之否定规律']
"创新是一个民族进步的灵魂,是一个国家兴旺发达的不竭动力.下列对中国特色社会主义的各种创新论述正确的是：①.主要包括理论创新、制度创新、科技创新和文化创新②.理论创新是前提,是关键,要使党和国家的事业不停顿,首先理论上不能停顿③.实践基础上的理论创新是社会发展和变革的先导","['①②', '①②③', '②③']",['①②③']
"辛亥革命是我国近代史上一次比较完全意义上的资产阶级民主革命.这是因为辛亥革命①提出了平均地权,耕者有其田的重要原则②建立了中国近代史上第一个资产阶级政党③制定了比较完整的资产阶级民主革命纲领④结束了封建君主专制制度,建立了资产阶级共和国","['①③④', '②③④', '①②④', '①②③④']",['②③④']
"加强党的先进性建设,必须：()(1)准确把握时代脉搏,保证党始终与时代发展同步伐(2)把实现好维护好发展好最广大人民的根本利益作为党全部工作的出发点和落脚点,保证党始终与人民群众共命运(3)使党的理论和路线方针、政策不断与时俱进,保证党的全部工作始终符合实际和社会发展规律(4)围绕党的中心任务来进行,保证党始终引领中国社会发展进步(5)坚持党要管党,从严治党,保证党始终具有蓬勃生机和旺盛活力","['(1)(2)(3)(4)(5)', '(1)(5)', '(3)(4)(5)', '(1)(2)(3)(4)']",['(1)(2)(3)(4)(5)']
毛泽东首次提出“马克思主义中国化”是在(&nbsp;&nbsp;),"['遵义会议', '瓦窑堡会议', '中共六届六中全会', '洛川会议']",['中共六届六中全会']
"公有制经济主体地位的主要体现是①国有经济占绝对优势②公有资产在社会总资产中占优势③国有企业和集体企业占优势④国有经济控制国民经济命脉,对经济发展其主导作用","['②④', '①②③', '③④', '①②']",['②④']
毛泽东创造性地阐述社会主义社会矛盾问题的著作是(),"['《关于正确处理人民内部矛盾的问题》', '《论十大关系》', '《矛盾论》', '《论人民民主专政》']",['《关于正确处理人民内部矛盾的问题》']
建设中国特色社会主义必须坚定不移地依靠广大农民群众是,"['由农民的数量决定的', '由农业在国民生产中的基础地位决定的', '由突出的农村问题决定的', '由农业、农村、农民问题的重要地位和作用决定的']",['由农业、农村、农民问题的重要地位和作用决定的']
邓小平理论是在(&nbsp;),"['战争与革命成为时代主题的历史条件和国际背景下产生的', '知识经济和科技革命迅速发展的历史条件和国际背景下产生的', '结束冷战、争取和平的历史条件和国际背景下产生的', '和平与发展成为时代主题的历史条件和国际背景下产生的']",['和平与发展成为时代主题的历史条件和国际背景下产生的']
"江泽民在中共十五大报告中指出,近代中华民族面临的两大历史任务是①推翻军阀官僚的反动统治②求得民族独立和人民解放③建立几个革命阶级的联合专政④实现国家的繁荣富强和人民的共同富裕","['①②', '③④', '②④', '①③']",['②④']
"中国的新民主主义革命和旧民主主义革命同属于资产阶级民主主义革命的两个阶段,它们之间的根本区别是革命的对象不同.","['对', '错']",['错']
"江泽民2001年“七一”讲话中指出,个体私营经济中的从业人员是","['工人阶级的重要组成部分', '职业和身份比较固定的弱势群体', '中国特色社会主义事业的建设者', '推动我国先进生产力发展的基本力量']",['中国特色社会主义事业的建设者']
人类社会的基本矛盾是,"['人民日益增长的物质文化需要同落后的社会生产之间的矛盾', '人民日益增长的物质文化需要同落后的社会生产力之间的矛盾', '生产力和生产关系、经济基础和上层建筑之间的矛盾', '无产阶级同资产阶级之间的矛盾']",['生产力和生产关系、经济基础和上层建筑之间的矛盾']
确立知识分子是工人阶级的一部分是在()确定的,"['十一届五中全会', '十二届三中全会', '十一届三中全会', '十二届五中全会']",['十一届三中全会']
下列关于社会主义矛盾的说法中不正确的有(),"['社会主义基本矛盾是对抗性的矛盾', '社会主义存在敌我矛盾和人民内部矛盾两种矛盾', '在社会主义条件下,阶级矛盾基本结束,但还没有完全结束', '社会主义基本矛盾可以通过社会主义制度自身得到解决']",['社会主义基本矛盾是对抗性的矛盾']
"2002年11月,江泽民在()报告中进一步阐述了“三个代表”重要思想的时代背景、历史地位、精神实质和指导意义.","['党的十四大', '党的十五大', '党的十六大', '党的十七大']",['党的十六大']
社会主义初级阶段居于主体地位的所有制形式是,"['国有经济', '公有制', '股份制经济', '混合所有制']",['公有制']
三大改造的完成是我国剥削阶段制度被消灭的标志,"['对', '错']",['对']
"科学技术是第一生产力,国家之间的竞争更多的将是科技力量的竞争,归根到底是","['经济实力的竞争', '人才的竞争', '坚持社会主义精神文明建设必须以马列主义、毛泽东思想和邓小平理论为指导', '政治实力的竞争']",['人才的竞争']
我国对外开放的先头阵地是,"['经济技术开发区', '沿海开放城市→经济技术开发区→沿海经济开放区→沿江沿边开放→内地开放', '经济特区', '保税区']",['经济特区']
"农业社会主义改造中,具有完全社会主义性质的是","['互助组', '合作社经济', '初级社', '高级社']",['高级社']
"坚持和完善社会主义初级阶段个人分配制度,就要规范个人分配秩序,包括①着力提高低收入者收入水平②逐步扩大中等收者比重③有效调解过高收入④坚决取缔非法收入","['①③', '①②③', '④', '①②③④']",['①②③④']
邓小平不断提出和反复思考的首要的基本的理论问题是,"['社会主义本质问题', '改革开放的问题', '社会主义市场经济的问题', '什么是社会主义,怎样建设社会主义的问题']","['什么是社会主义,怎样建设社会主义的问题']"
提出“建设社会主义和谐社会”是党的,"['十六届三中全会', '十六届四中全会', '十六届五中全会', '十六届六中全会']",['十六届六中全会']
按劳分配的尺度是,"['需要', '资本', '劳动', '工作能力']",['劳动']
后来的改革证明当初的三大改造搞错了.,"['对', '错']",['错']
"新中国成立后,中国共产党把独立自主、自力更生运用到外交领域和经济建设方面,形成的方针、政策是①针锋相对、寸土必争的方针②独立自主的和平外交政策③自力更生为主,争取外援为辅的方针④以农业为基础,以工业为主导的总方针","['①②', '②③', '③④', '①④']",['②③']
"民主革命时期,中国工人阶级的特殊优点有①深受帝国主义、封建主义和资本主义的三重压迫,革命性最强②同先进的经济形式相联系,富于组织性和纪律性③和广大农民有天然联系,便于结成工农联盟④D集中在大中城市和大中型企业部门,便于进行有组织的革命斗争","['①②③', '①②', '①②③④', '①③④']",['①③④']
"强调社会主义初级阶段是整个建设中国特色社会主义的很长历史过程中的初始阶段,表明了","['社会主义初级阶段就是社会主义初始阶段', '社会主义初级阶段与建设中国特色社会主义历史进程的内在联系', '社会主义初级阶段是建设社会主义的必经阶段', '社会主义初级阶段是社会主义社会很长的历史过程']",['社会主义初级阶段与建设中国特色社会主义历史进程的内在联系']
我国人民军队的宗旨是：,"['保卫祖国', '全心全意为人民服务', '积极防御', '实现人民军队的革命化、现代化和正规化']",['全心全意为人民服务']
"党的十五大把“三步走”战略的第三步进一步具体化,提出的三个阶段性目标是：①从1981年到1990年实现国民生产总值比1980年翻一番；②从1991年到20世纪末,使国民生产总值再翻一番；③21世纪第一个10年,实现国民生产总值比2000年翻一番；④到建党100周年时,使国民经济更加发展,各项制度更加完善；⑤到21世纪中叶新中国成立100周年时,基本实现现代化","['①②⑤', '①②③', '③④⑤', '②③⑤']",['③④⑤']
"加强军队建设,其中,","['现代化始终是第一位的', '革命化始终是第一位的', '正规化始终是第一位的', '三者都重要']",['革命化始终是第一位的']
"澳门回归祖国,标志着","['中国人民在完成祖国和平统一大业的道路上又迈出了重要一步', '澳门从此结束了殖民主义和资本主义制度', '澳门作为国家的一级地方行政机关,在立法、司法和行政管理等方面从此接受中央政府领导', '祖国和平统一大业完全实现']",['中国人民在完成祖国和平统一大业的道路上又迈出了重要一步']
"实施科教兴国战略,体现了邓小平关于()","['尊重知识,尊重人才的思想', '发展才是硬道理的思想', '科学技术是第一生产力的思想', '教育要面向现代化、面向世界、面向未来的思想']",['科学技术是第一生产力的思想']
共产主义是：①一个伟大的社会理想；②一个科学的理论体系；③一个现实的运动；④共产党人的理想信念和精神支柱,"['①②③④', '①②③', '①③④', '①②④']",['①②③④']
"全面建设小康社会,最根本的是","['扩大对外开放,', '深化改革', '重视教育,把科学技术搞上去', '坚持以经济建设为中心']",['坚持以经济建设为中心']
"党的八大指出,我国社会主义制度建立后,全国人民的主要任务是","['实现国家的工业化,以及对农业、手工业和资本主义工商业的社会主义改造', '集中力量发展社会生产力,实现国家工业化', '消灭剥削制度和剥削阶级', '严格区分和正确处理敌我矛盾和人民内部矛盾']","['集中力量发展社会生产力,实现国家工业化']"
